===== AR (diffusion mu=on) STARTED Mon Jul 27 11:34:54 CEST 2026 =====
objective=diffusion mu=on params=2.209M steps=50000 diff_steps=3 norm=std
step  12700 | loss 0.1632 | aux 0.1605 | lr 1.73e-04 | 0.4 it/s
step  12800 | loss 0.1666 | aux 0.1638 | lr 1.73e-04 | 0.4 it/s
step  12900 | loss 0.1713 | aux 0.1685 | lr 1.73e-04 | 0.4 it/s
step  13000 | loss 0.1811 | aux 0.1783 | lr 1.72e-04 | 0.4 it/s
step  13100 | loss 0.1626 | aux 0.1599 | lr 1.72e-04 | 0.4 it/s
step  13200 | loss 0.1602 | aux 0.1575 | lr 1.71e-04 | 0.4 it/s
step  13300 | loss 0.1699 | aux 0.1671 | lr 1.71e-04 | 0.4 it/s
step  13400 | loss 0.1656 | aux 0.1629 | lr 1.70e-04 | 0.4 it/s
step  13500 | loss 0.1616 | aux 0.1589 | lr 1.70e-04 | 0.4 it/s
step  13600 | loss 0.1538 | aux 0.1512 | lr 1.69e-04 | 0.4 it/s
step  13700 | loss 0.1610 | aux 0.1583 | lr 1.69e-04 | 0.4 it/s
step  13800 | loss 0.1572 | aux 0.1545 | lr 1.68e-04 | 0.4 it/s
step  13900 | loss 0.1523 | aux 0.1496 | lr 1.68e-04 | 0.4 it/s
step  14000 | loss 0.1588 | aux 0.1561 | lr 1.68e-04 | 0.4 it/s
  [eval] step 14000 | EMA avg NMSE -8.60 dB (step1 -19.31, step10 -5.14)
step  14100 | loss 0.1633 | aux 0.1606 | lr 1.67e-04 | 0.4 it/s
step  14200 | loss 0.1647 | aux 0.1620 | lr 1.67e-04 | 0.4 it/s
step  14300 | loss 0.1705 | aux 0.1678 | lr 1.66e-04 | 0.4 it/s
step  14400 | loss 0.1624 | aux 0.1597 | lr 1.66e-04 | 0.4 it/s
step  14500 | loss 0.1667 | aux 0.1639 | lr 1.65e-04 | 0.4 it/s
step  14600 | loss 0.1724 | aux 0.1696 | lr 1.65e-04 | 0.4 it/s
step  14700 | loss 0.1568 | aux 0.1541 | lr 1.64e-04 | 0.4 it/s
step  14800 | loss 0.1606 | aux 0.1579 | lr 1.64e-04 | 0.4 it/s
step  14900 | loss 0.1669 | aux 0.1641 | lr 1.63e-04 | 0.4 it/s
step  15000 | loss 0.1700 | aux 0.1672 | lr 1.63e-04 | 0.4 it/s
step  15100 | loss 0.1745 | aux 0.1717 | lr 1.62e-04 | 0.4 it/s
step  15200 | loss 0.1664 | aux 0.1636 | lr 1.62e-04 | 0.4 it/s
step  15300 | loss 0.1528 | aux 0.1502 | lr 1.61e-04 | 0.4 it/s
step  15400 | loss 0.1700 | aux 0.1673 | lr 1.61e-04 | 0.4 it/s
step  15500 | loss 0.1577 | aux 0.1550 | lr 1.60e-04 | 0.4 it/s
step  15600 | loss 0.1787 | aux 0.1760 | lr 1.60e-04 | 0.4 it/s
step  15700 | loss 0.1654 | aux 0.1627 | lr 1.59e-04 | 0.4 it/s
step  15800 | loss 0.1548 | aux 0.1522 | lr 1.59e-04 | 0.4 it/s
step  15900 | loss 0.1632 | aux 0.1606 | lr 1.58e-04 | 0.4 it/s
step  16000 | loss 0.1528 | aux 0.1501 | lr 1.58e-04 | 0.4 it/s
  [eval] step 16000 | EMA avg NMSE -8.83 dB (step1 -19.64, step10 -5.32)
step  16100 | loss 0.1662 | aux 0.1634 | lr 1.57e-04 | 0.4 it/s
step  16200 | loss 0.1693 | aux 0.1666 | lr 1.57e-04 | 0.4 it/s
step  16300 | loss 0.1548 | aux 0.1522 | lr 1.56e-04 | 0.4 it/s
step  16400 | loss 0.1633 | aux 0.1605 | lr 1.56e-04 | 0.4 it/s
step  16500 | loss 0.1685 | aux 0.1657 | lr 1.55e-04 | 0.4 it/s
step  16600 | loss 0.1576 | aux 0.1549 | lr 1.54e-04 | 0.4 it/s
step  16700 | loss 0.1708 | aux 0.1680 | lr 1.54e-04 | 0.4 it/s
step  16800 | loss 0.1602 | aux 0.1575 | lr 1.53e-04 | 0.4 it/s
step  16900 | loss 0.1581 | aux 0.1554 | lr 1.53e-04 | 0.4 it/s
step  17000 | loss 0.1514 | aux 0.1488 | lr 1.52e-04 | 0.4 it/s
step  17100 | loss 0.1380 | aux 0.1355 | lr 1.52e-04 | 0.4 it/s
step  17200 | loss 0.1687 | aux 0.1660 | lr 1.51e-04 | 0.4 it/s
step  17300 | loss 0.1570 | aux 0.1544 | lr 1.51e-04 | 0.4 it/s
step  17400 | loss 0.1610 | aux 0.1584 | lr 1.50e-04 | 0.4 it/s
step  17500 | loss 0.1697 | aux 0.1669 | lr 1.50e-04 | 0.4 it/s
step  17600 | loss 0.1532 | aux 0.1506 | lr 1.49e-04 | 0.4 it/s
step  17700 | loss 0.1535 | aux 0.1509 | lr 1.48e-04 | 0.4 it/s
step  17800 | loss 0.1628 | aux 0.1601 | lr 1.48e-04 | 0.4 it/s
step  17900 | loss 0.1495 | aux 0.1469 | lr 1.47e-04 | 0.4 it/s
step  18000 | loss 0.1545 | aux 0.1519 | lr 1.47e-04 | 0.4 it/s
  [eval] step 18000 | EMA avg NMSE -8.97 dB (step1 -19.82, step10 -5.43)
step  18100 | loss 0.1543 | aux 0.1517 | lr 1.46e-04 | 0.4 it/s
step  18200 | loss 0.1612 | aux 0.1586 | lr 1.46e-04 | 0.4 it/s
step  18300 | loss 0.1634 | aux 0.1607 | lr 1.45e-04 | 0.4 it/s
step  18400 | loss 0.1583 | aux 0.1556 | lr 1.45e-04 | 0.4 it/s
step  18500 | loss 0.1435 | aux 0.1409 | lr 1.44e-04 | 0.4 it/s
step  18600 | loss 0.1559 | aux 0.1532 | lr 1.43e-04 | 0.4 it/s
step  18700 | loss 0.1508 | aux 0.1482 | lr 1.43e-04 | 0.4 it/s
step  18800 | loss 0.1579 | aux 0.1553 | lr 1.42e-04 | 0.4 it/s
step  18900 | loss 0.1719 | aux 0.1692 | lr 1.42e-04 | 0.4 it/s
step  19000 | loss 0.1731 | aux 0.1703 | lr 1.41e-04 | 0.4 it/s
step  19100 | loss 0.1582 | aux 0.1555 | lr 1.40e-04 | 0.4 it/s
step  19200 | loss 0.1452 | aux 0.1426 | lr 1.40e-04 | 0.4 it/s
step  19300 | loss 0.1540 | aux 0.1514 | lr 1.39e-04 | 0.4 it/s
step  19400 | loss 0.1538 | aux 0.1512 | lr 1.39e-04 | 0.4 it/s
step  19500 | loss 0.1606 | aux 0.1580 | lr 1.38e-04 | 0.4 it/s
step  19600 | loss 0.1628 | aux 0.1601 | lr 1.38e-04 | 0.4 it/s
step  19700 | loss 0.1512 | aux 0.1487 | lr 1.37e-04 | 0.4 it/s
step  19800 | loss 0.1621 | aux 0.1594 | lr 1.36e-04 | 0.4 it/s
step  19900 | loss 0.1498 | aux 0.1472 | lr 1.36e-04 | 0.4 it/s
step  20000 | loss 0.1615 | aux 0.1589 | lr 1.35e-04 | 0.4 it/s
  [eval] step 20000 | EMA avg NMSE -9.03 dB (step1 -19.98, step10 -5.42)
step  20100 | loss 0.1519 | aux 0.1493 | lr 1.35e-04 | 0.4 it/s
step  20200 | loss 0.1505 | aux 0.1479 | lr 1.34e-04 | 0.4 it/s
step  20300 | loss 0.1627 | aux 0.1600 | lr 1.33e-04 | 0.4 it/s
step  20400 | loss 0.1492 | aux 0.1466 | lr 1.33e-04 | 0.4 it/s
step  20500 | loss 0.1502 | aux 0.1476 | lr 1.32e-04 | 0.4 it/s
step  20600 | loss 0.1603 | aux 0.1576 | lr 1.32e-04 | 0.4 it/s
step  20700 | loss 0.1590 | aux 0.1563 | lr 1.31e-04 | 0.4 it/s
step  20800 | loss 0.1416 | aux 0.1391 | lr 1.30e-04 | 0.4 it/s
step  20900 | loss 0.1580 | aux 0.1553 | lr 1.30e-04 | 0.4 it/s
step  21000 | loss 0.1516 | aux 0.1491 | lr 1.29e-04 | 0.4 it/s
step  21100 | loss 0.1648 | aux 0.1621 | lr 1.29e-04 | 0.4 it/s
step  21200 | loss 0.1689 | aux 0.1662 | lr 1.28e-04 | 0.4 it/s
step  21300 | loss 0.1725 | aux 0.1697 | lr 1.27e-04 | 0.4 it/s
step  21400 | loss 0.1527 | aux 0.1501 | lr 1.27e-04 | 0.4 it/s
step  21500 | loss 0.1645 | aux 0.1618 | lr 1.26e-04 | 0.4 it/s
step  21600 | loss 0.1588 | aux 0.1562 | lr 1.25e-04 | 0.4 it/s
step  21700 | loss 0.1591 | aux 0.1565 | lr 1.25e-04 | 0.4 it/s
step  21800 | loss 0.1544 | aux 0.1518 | lr 1.24e-04 | 0.4 it/s
step  21900 | loss 0.1493 | aux 0.1467 | lr 1.24e-04 | 0.4 it/s
step  22000 | loss 0.1484 | aux 0.1458 | lr 1.23e-04 | 0.4 it/s
  [eval] step 22000 | EMA avg NMSE -9.11 dB (step1 -20.16, step10 -5.45)
step  22100 | loss 0.1715 | aux 0.1687 | lr 1.22e-04 | 0.4 it/s
step  22200 | loss 0.1637 | aux 0.1610 | lr 1.22e-04 | 0.4 it/s
step  22300 | loss 0.1386 | aux 0.1361 | lr 1.21e-04 | 0.4 it/s
step  22400 | loss 0.1489 | aux 0.1463 | lr 1.21e-04 | 0.4 it/s
step  22500 | loss 0.1565 | aux 0.1538 | lr 1.20e-04 | 0.4 it/s
step  22600 | loss 0.1593 | aux 0.1566 | lr 1.19e-04 | 0.4 it/s
step  22700 | loss 0.1684 | aux 0.1657 | lr 1.19e-04 | 0.4 it/s
step  22800 | loss 0.1445 | aux 0.1419 | lr 1.18e-04 | 0.4 it/s
step  22900 | loss 0.1693 | aux 0.1666 | lr 1.17e-04 | 0.4 it/s
step  23000 | loss 0.1583 | aux 0.1556 | lr 1.17e-04 | 0.4 it/s
step  23100 | loss 0.1560 | aux 0.1534 | lr 1.16e-04 | 0.4 it/s
step  23200 | loss 0.1584 | aux 0.1558 | lr 1.16e-04 | 0.4 it/s
step  23300 | loss 0.1417 | aux 0.1391 | lr 1.15e-04 | 0.4 it/s
step  23400 | loss 0.1539 | aux 0.1514 | lr 1.14e-04 | 0.4 it/s
step  23500 | loss 0.1582 | aux 0.1556 | lr 1.14e-04 | 0.4 it/s
step  23600 | loss 0.1452 | aux 0.1427 | lr 1.13e-04 | 0.4 it/s
step  23700 | loss 0.1517 | aux 0.1491 | lr 1.12e-04 | 0.4 it/s
