===== TRAIN STARTED AT Wed Jul  1 16:44:21 CEST 2026 =====
device=cuda out_dir=runs/mf_6790263 steps=50000 batch=128 lr=0.0002
building fixed validation set ...
step      0 | mse 1.2617 | lr 2.00e-07 | 0.4 it/s
step  10800 | mse 0.1967 | lr 2.00e-04 | 1.9 it/s
step  10900 | mse 0.2412 | lr 2.00e-04 | 1.9 it/s
step  11000 | mse 0.1971 | lr 2.00e-04 | 1.9 it/s
step  11100 | mse 0.1967 | lr 2.00e-04 | 1.9 it/s
step  11200 | mse 0.2038 | lr 2.00e-04 | 1.9 it/s
step  11300 | mse 0.1914 | lr 2.00e-04 | 1.9 it/s
step  11400 | mse 0.2132 | lr 2.00e-04 | 1.9 it/s
step  11500 | mse 0.2031 | lr 2.00e-04 | 1.9 it/s
step  11600 | mse 0.2059 | lr 2.00e-04 | 1.9 it/s
step  11700 | mse 0.1997 | lr 2.00e-04 | 1.9 it/s
step  11800 | mse 0.1831 | lr 2.00e-04 | 1.9 it/s
step  11900 | mse 0.1829 | lr 2.00e-04 | 1.9 it/s
step  12000 | mse 0.1936 | lr 2.00e-04 | 1.9 it/s
  [eval] step 12000 | avg NMSE -2.44 dB (step1 -3.37, step10 -1.98)
step  12100 | mse 0.1875 | lr 2.00e-04 | 1.9 it/s
step  12200 | mse 0.1738 | lr 2.00e-04 | 1.9 it/s
step  12300 | mse 0.1909 | lr 2.00e-04 | 1.9 it/s
step  12400 | mse 0.2180 | lr 2.00e-04 | 1.9 it/s
step  12500 | mse 0.1793 | lr 2.00e-04 | 1.9 it/s
step  12600 | mse 0.1905 | lr 2.00e-04 | 1.9 it/s
step  12700 | mse 0.2034 | lr 2.00e-04 | 1.9 it/s
step  12800 | mse 0.2487 | lr 2.00e-04 | 1.9 it/s
step  12900 | mse 0.1842 | lr 2.00e-04 | 1.9 it/s
step  13000 | mse 0.2337 | lr 2.00e-04 | 1.9 it/s
step  13100 | mse 0.1931 | lr 2.00e-04 | 1.9 it/s
step  13200 | mse 0.1985 | lr 2.00e-04 | 1.9 it/s
step  13300 | mse 0.2121 | lr 2.00e-04 | 1.9 it/s
step  13400 | mse 0.1625 | lr 2.00e-04 | 1.9 it/s
step  13500 | mse 0.2253 | lr 2.00e-04 | 1.9 it/s
step  13600 | mse 0.1769 | lr 2.00e-04 | 1.9 it/s
step  13700 | mse 0.1865 | lr 2.00e-04 | 1.9 it/s
step  13800 | mse 0.1966 | lr 2.00e-04 | 1.9 it/s
step  13900 | mse 0.1913 | lr 2.00e-04 | 1.9 it/s
step  14000 | mse 0.2133 | lr 2.00e-04 | 1.9 it/s
  [eval] step 14000 | avg NMSE -4.41 dB (step1 -5.28, step10 -4.10)
step  14100 | mse 0.1835 | lr 2.00e-04 | 1.9 it/s
step  14200 | mse 0.1911 | lr 2.00e-04 | 1.9 it/s
step  14300 | mse 0.1938 | lr 2.00e-04 | 1.9 it/s
step  14400 | mse 0.1832 | lr 2.00e-04 | 1.9 it/s
step  14500 | mse 0.1929 | lr 2.00e-04 | 1.9 it/s
step  14600 | mse 0.1873 | lr 2.00e-04 | 1.9 it/s
step  14700 | mse 0.2030 | lr 2.00e-04 | 1.9 it/s
step  14800 | mse 0.1576 | lr 2.00e-04 | 1.9 it/s
step  14900 | mse 0.1964 | lr 2.00e-04 | 1.9 it/s
step  15000 | mse 0.1960 | lr 2.00e-04 | 1.9 it/s
step  15100 | mse 0.1737 | lr 2.00e-04 | 1.9 it/s
step  15200 | mse 0.1783 | lr 2.00e-04 | 1.9 it/s
step  15300 | mse 0.1870 | lr 2.00e-04 | 1.9 it/s
step  15400 | mse 0.2100 | lr 2.00e-04 | 1.9 it/s
