===== SEQ2SEQ (diffusion/small) STARTED Sun Jul 26 13:50:08 CEST 2026 =====
objective=diffusion size=small params=0.698M steps=50000 batch=256 lr=0.0002 norm=global_std
global-std (mu, sd) = (0.0335, 0.7063)
step      0 | loss 0.0140 | lr 2.00e-07 | 0.5 it/s
step  18600 | loss 0.0032 | lr 1.43e-04 | 2.2 it/s
step  18700 | loss 0.0032 | lr 1.43e-04 | 2.2 it/s
step  18800 | loss 0.0032 | lr 1.42e-04 | 2.2 it/s
step  18900 | loss 0.0034 | lr 1.42e-04 | 2.2 it/s
step  19000 | loss 0.0034 | lr 1.41e-04 | 2.2 it/s
step  19100 | loss 0.0032 | lr 1.40e-04 | 2.2 it/s
step  19200 | loss 0.0031 | lr 1.40e-04 | 2.2 it/s
step  19300 | loss 0.0032 | lr 1.39e-04 | 2.2 it/s
step  19400 | loss 0.0031 | lr 1.39e-04 | 2.2 it/s
step  19500 | loss 0.0032 | lr 1.38e-04 | 2.2 it/s
step  19600 | loss 0.0033 | lr 1.38e-04 | 2.2 it/s
step  19700 | loss 0.0031 | lr 1.37e-04 | 2.2 it/s
step  19800 | loss 0.0032 | lr 1.36e-04 | 2.2 it/s
step  19900 | loss 0.0031 | lr 1.36e-04 | 2.2 it/s
step  20000 | loss 0.0032 | lr 1.35e-04 | 2.2 it/s
  [eval] step 20000 | EMA avg NMSE -3.89 dB (step1 -5.77, step10 -2.88)
step  20100 | loss 0.0032 | lr 1.35e-04 | 2.2 it/s
step  20200 | loss 0.0031 | lr 1.34e-04 | 2.2 it/s
step  20300 | loss 0.0033 | lr 1.33e-04 | 2.2 it/s
step  20400 | loss 0.0031 | lr 1.33e-04 | 2.2 it/s
step  20500 | loss 0.0031 | lr 1.32e-04 | 2.2 it/s
step  20600 | loss 0.0033 | lr 1.32e-04 | 2.2 it/s
step  20700 | loss 0.0032 | lr 1.31e-04 | 2.2 it/s
step  20800 | loss 0.0031 | lr 1.30e-04 | 2.2 it/s
step  20900 | loss 0.0033 | lr 1.30e-04 | 2.2 it/s
step  21000 | loss 0.0031 | lr 1.29e-04 | 2.2 it/s
step  21100 | loss 0.0033 | lr 1.29e-04 | 2.2 it/s
step  21200 | loss 0.0033 | lr 1.28e-04 | 2.2 it/s
step  21300 | loss 0.0034 | lr 1.27e-04 | 2.2 it/s
step  21400 | loss 0.0032 | lr 1.27e-04 | 2.2 it/s
step  21500 | loss 0.0033 | lr 1.26e-04 | 2.2 it/s
step  21600 | loss 0.0033 | lr 1.25e-04 | 2.2 it/s
step  21700 | loss 0.0032 | lr 1.25e-04 | 2.2 it/s
step  21800 | loss 0.0032 | lr 1.24e-04 | 2.2 it/s
step  21900 | loss 0.0031 | lr 1.24e-04 | 2.2 it/s
step  22000 | loss 0.0031 | lr 1.23e-04 | 2.2 it/s
  [eval] step 22000 | EMA avg NMSE -3.94 dB (step1 -5.88, step10 -2.90)
step  22100 | loss 0.0034 | lr 1.22e-04 | 2.2 it/s
step  22200 | loss 0.0033 | lr 1.22e-04 | 2.2 it/s
step  22300 | loss 0.0030 | lr 1.21e-04 | 2.2 it/s
step  22400 | loss 0.0031 | lr 1.21e-04 | 2.2 it/s
step  22500 | loss 0.0032 | lr 1.20e-04 | 2.2 it/s
step  22600 | loss 0.0032 | lr 1.19e-04 | 2.2 it/s
step  22700 | loss 0.0033 | lr 1.19e-04 | 2.2 it/s
step  22800 | loss 0.0031 | lr 1.18e-04 | 2.2 it/s
step  22900 | loss 0.0034 | lr 1.17e-04 | 2.2 it/s
step  23000 | loss 0.0032 | lr 1.17e-04 | 2.2 it/s
step  23100 | loss 0.0032 | lr 1.16e-04 | 2.2 it/s
step  23200 | loss 0.0032 | lr 1.16e-04 | 2.2 it/s
step  23300 | loss 0.0030 | lr 1.15e-04 | 2.2 it/s
step  23400 | loss 0.0031 | lr 1.14e-04 | 2.2 it/s
step  23500 | loss 0.0032 | lr 1.14e-04 | 2.2 it/s
step  23600 | loss 0.0030 | lr 1.13e-04 | 2.2 it/s
step  23700 | loss 0.0031 | lr 1.12e-04 | 2.2 it/s
step  23800 | loss 0.0031 | lr 1.12e-04 | 2.2 it/s
step  23900 | loss 0.0031 | lr 1.11e-04 | 2.2 it/s
step  24000 | loss 0.0034 | lr 1.11e-04 | 2.2 it/s
  [eval] step 24000 | EMA avg NMSE -3.96 dB (step1 -5.93, step10 -2.91)
step  24100 | loss 0.0031 | lr 1.10e-04 | 2.2 it/s
step  24200 | loss 0.0031 | lr 1.09e-04 | 2.2 it/s
step  24300 | loss 0.0030 | lr 1.09e-04 | 2.2 it/s
step  24400 | loss 0.0032 | lr 1.08e-04 | 2.2 it/s
step  24500 | loss 0.0032 | lr 1.07e-04 | 2.2 it/s
step  24600 | loss 0.0032 | lr 1.07e-04 | 2.2 it/s
step  24700 | loss 0.0031 | lr 1.06e-04 | 2.2 it/s
step  24800 | loss 0.0030 | lr 1.05e-04 | 2.2 it/s
step  24900 | loss 0.0032 | lr 1.05e-04 | 2.2 it/s
step  25000 | loss 0.0030 | lr 1.04e-04 | 2.2 it/s
step  25100 | loss 0.0032 | lr 1.04e-04 | 2.2 it/s
step  25200 | loss 0.0031 | lr 1.03e-04 | 2.2 it/s
step  25300 | loss 0.0031 | lr 1.02e-04 | 2.2 it/s
step  25400 | loss 0.0031 | lr 1.02e-04 | 2.2 it/s
step  25500 | loss 0.0029 | lr 1.01e-04 | 2.2 it/s
step  25600 | loss 0.0031 | lr 1.00e-04 | 2.2 it/s
step  25700 | loss 0.0030 | lr 9.97e-05 | 2.2 it/s
step  25800 | loss 0.0031 | lr 9.91e-05 | 2.2 it/s
step  25900 | loss 0.0033 | lr 9.85e-05 | 2.2 it/s
step  26000 | loss 0.0031 | lr 9.78e-05 | 2.2 it/s
  [eval] step 26000 | EMA avg NMSE -3.98 dB (step1 -5.99, step10 -2.92)
step  26100 | loss 0.0032 | lr 9.72e-05 | 2.2 it/s
step  26200 | loss 0.0031 | lr 9.66e-05 | 2.2 it/s
step  26300 | loss 0.0029 | lr 9.59e-05 | 2.2 it/s
step  26400 | loss 0.0032 | lr 9.53e-05 | 2.2 it/s
step  26500 | loss 0.0032 | lr 9.47e-05 | 2.2 it/s
step  26600 | loss 0.0030 | lr 9.40e-05 | 2.2 it/s
step  26700 | loss 0.0030 | lr 9.34e-05 | 2.2 it/s
step  26800 | loss 0.0031 | lr 9.28e-05 | 2.2 it/s
step  26900 | loss 0.0033 | lr 9.21e-05 | 2.2 it/s
step  27000 | loss 0.0030 | lr 9.15e-05 | 2.2 it/s
step  27100 | loss 0.0032 | lr 9.09e-05 | 2.2 it/s
step  27200 | loss 0.0030 | lr 9.02e-05 | 2.2 it/s
step  27300 | loss 0.0030 | lr 8.96e-05 | 2.2 it/s
step  27400 | loss 0.0031 | lr 8.90e-05 | 2.2 it/s
step  27500 | loss 0.0031 | lr 8.83e-05 | 2.2 it/s
step  27600 | loss 0.0029 | lr 8.77e-05 | 2.2 it/s
step  27700 | loss 0.0031 | lr 8.71e-05 | 2.2 it/s
step  27800 | loss 0.0030 | lr 8.65e-05 | 2.2 it/s
step  27900 | loss 0.0030 | lr 8.58e-05 | 2.2 it/s
step  28000 | loss 0.0032 | lr 8.52e-05 | 2.2 it/s
  [eval] step 28000 | EMA avg NMSE -3.99 dB (step1 -6.04, step10 -2.93)
step  28100 | loss 0.0032 | lr 8.46e-05 | 2.2 it/s
step  28200 | loss 0.0031 | lr 8.39e-05 | 2.2 it/s
step  28300 | loss 0.0032 | lr 8.33e-05 | 2.2 it/s
step  28400 | loss 0.0031 | lr 8.27e-05 | 2.2 it/s
step  28500 | loss 0.0030 | lr 8.21e-05 | 2.2 it/s
step  28600 | loss 0.0030 | lr 8.15e-05 | 2.2 it/s
step  28700 | loss 0.0031 | lr 8.08e-05 | 2.2 it/s
step  28800 | loss 0.0032 | lr 8.02e-05 | 2.2 it/s
step  28900 | loss 0.0032 | lr 7.96e-05 | 2.2 it/s
step  29000 | loss 0.0030 | lr 7.90e-05 | 2.2 it/s
step  29100 | loss 0.0032 | lr 7.84e-05 | 2.2 it/s
step  29200 | loss 0.0031 | lr 7.77e-05 | 2.2 it/s
step  29300 | loss 0.0031 | lr 7.71e-05 | 2.2 it/s
step  29400 | loss 0.0033 | lr 7.65e-05 | 2.2 it/s
step  29500 | loss 0.0032 | lr 7.59e-05 | 2.2 it/s
step  29600 | loss 0.0031 | lr 7.53e-05 | 2.2 it/s
step  29700 | loss 0.0031 | lr 7.47e-05 | 2.2 it/s
step  29800 | loss 0.0032 | lr 7.41e-05 | 2.2 it/s
step  29900 | loss 0.0031 | lr 7.34e-05 | 2.2 it/s
step  30000 | loss 0.0031 | lr 7.28e-05 | 2.2 it/s
  [eval] step 30000 | EMA avg NMSE -3.99 dB (step1 -6.09, step10 -2.93)
step  30100 | loss 0.0030 | lr 7.22e-05 | 2.2 it/s
step  30200 | loss 0.0031 | lr 7.16e-05 | 2.2 it/s
step  30300 | loss 0.0030 | lr 7.10e-05 | 2.2 it/s
step  30400 | loss 0.0031 | lr 7.04e-05 | 2.2 it/s
step  30500 | loss 0.0031 | lr 6.98e-05 | 2.2 it/s
step  30600 | loss 0.0031 | lr 6.92e-05 | 2.2 it/s
step  30700 | loss 0.0031 | lr 6.86e-05 | 2.2 it/s
step  30800 | loss 0.0031 | lr 6.80e-05 | 2.2 it/s
step  30900 | loss 0.0031 | lr 6.74e-05 | 2.2 it/s
step  31000 | loss 0.0032 | lr 6.68e-05 | 2.2 it/s
step  31100 | loss 0.0030 | lr 6.62e-05 | 2.2 it/s
step  31200 | loss 0.0029 | lr 6.56e-05 | 2.2 it/s
step  31300 | loss 0.0030 | lr 6.50e-05 | 2.2 it/s
step  31400 | loss 0.0031 | lr 6.44e-05 | 2.2 it/s
step  31500 | loss 0.0032 | lr 6.38e-05 | 2.2 it/s
step  31600 | loss 0.0030 | lr 6.33e-05 | 2.2 it/s
step  31700 | loss 0.0031 | lr 6.27e-05 | 2.2 it/s
step  31800 | loss 0.0030 | lr 6.21e-05 | 2.2 it/s
step  31900 | loss 0.0029 | lr 6.15e-05 | 2.2 it/s
step  32000 | loss 0.0031 | lr 6.09e-05 | 2.2 it/s
  [eval] step 32000 | EMA avg NMSE -3.99 dB (step1 -6.12, step10 -2.92)
step  32100 | loss 0.0032 | lr 6.03e-05 | 2.2 it/s
step  32200 | loss 0.0030 | lr 5.98e-05 | 2.2 it/s
step  32300 | loss 0.0031 | lr 5.92e-05 | 2.2 it/s
step  32400 | loss 0.0030 | lr 5.86e-05 | 2.2 it/s
step  32500 | loss 0.0028 | lr 5.80e-05 | 2.2 it/s
step  32600 | loss 0.0032 | lr 5.75e-05 | 2.2 it/s
step  32700 | loss 0.0030 | lr 5.69e-05 | 2.2 it/s
step  32800 | loss 0.0029 | lr 5.63e-05 | 2.2 it/s
step  32900 | loss 0.0032 | lr 5.58e-05 | 2.2 it/s
step  33000 | loss 0.0030 | lr 5.52e-05 | 2.2 it/s
step  33100 | loss 0.0030 | lr 5.46e-05 | 2.2 it/s
step  33200 | loss 0.0031 | lr 5.41e-05 | 2.2 it/s
step  33300 | loss 0.0030 | lr 5.35e-05 | 2.2 it/s
step  33400 | loss 0.0031 | lr 5.30e-05 | 2.2 it/s
step  33500 | loss 0.0031 | lr 5.24e-05 | 2.2 it/s
step  33600 | loss 0.0030 | lr 5.19e-05 | 2.2 it/s
step  33700 | loss 0.0029 | lr 5.13e-05 | 2.2 it/s
step  33800 | loss 0.0030 | lr 5.08e-05 | 2.2 it/s
step  33900 | loss 0.0030 | lr 5.02e-05 | 2.2 it/s
step  34000 | loss 0.0030 | lr 4.97e-05 | 2.2 it/s
  [eval] step 34000 | EMA avg NMSE -3.97 dB (step1 -6.13, step10 -2.90)
step  34100 | loss 0.0031 | lr 4.91e-05 | 2.2 it/s
step  34200 | loss 0.0031 | lr 4.86e-05 | 2.2 it/s
step  34300 | loss 0.0030 | lr 4.81e-05 | 2.2 it/s
step  34400 | loss 0.0031 | lr 4.75e-05 | 2.2 it/s
step  34500 | loss 0.0031 | lr 4.70e-05 | 2.2 it/s
