===== REGRESSION TRAIN STARTED AT Sat Jul 25 20:46:05 CEST 2026 =====
device=cuda out_dir=runs/reg_6915230 steps=50000 batch=256 lr=0.0002 (JointRegressor, joint 10-frame)
building fixed validation set ...
step      0 | mse 1.1911 | lr 2.00e-07 | 0.4 it/s
step  11100 | mse 0.2291 | lr 1.80e-04 | 1.2 it/s
step  11200 | mse 0.2541 | lr 1.80e-04 | 1.2 it/s
step  11300 | mse 0.2837 | lr 1.79e-04 | 1.2 it/s
step  11400 | mse 0.2249 | lr 1.79e-04 | 1.2 it/s
step  11500 | mse 0.2600 | lr 1.78e-04 | 1.2 it/s
step  11600 | mse 0.2670 | lr 1.78e-04 | 1.2 it/s
step  11700 | mse 0.2531 | lr 1.78e-04 | 1.2 it/s
step  11800 | mse 0.2328 | lr 1.77e-04 | 1.2 it/s
step  11900 | mse 0.2499 | lr 1.77e-04 | 1.2 it/s
step  12000 | mse 0.2523 | lr 1.76e-04 | 1.2 it/s
  [eval] step 12000 | EMA avg NMSE -10.25 dB (step1 -15.60, step10 -7.65) | raw -10.15 dB
step  12100 | mse 0.2844 | lr 1.76e-04 | 1.2 it/s
step  12200 | mse 0.2418 | lr 1.76e-04 | 1.2 it/s
step  12300 | mse 0.2430 | lr 1.75e-04 | 1.2 it/s
step  12400 | mse 0.2751 | lr 1.75e-04 | 1.2 it/s
step  12500 | mse 0.2255 | lr 1.74e-04 | 1.2 it/s
step  12600 | mse 0.2464 | lr 1.74e-04 | 1.2 it/s
step  12700 | mse 0.2376 | lr 1.73e-04 | 1.2 it/s
step  12800 | mse 0.2522 | lr 1.73e-04 | 1.2 it/s
step  12900 | mse 0.2538 | lr 1.73e-04 | 1.2 it/s
step  13000 | mse 0.2749 | lr 1.72e-04 | 1.2 it/s
step  13100 | mse 0.2376 | lr 1.72e-04 | 1.2 it/s
step  13200 | mse 0.2343 | lr 1.71e-04 | 1.2 it/s
step  13300 | mse 0.2466 | lr 1.71e-04 | 1.2 it/s
step  13400 | mse 0.2513 | lr 1.70e-04 | 1.2 it/s
step  13500 | mse 0.2391 | lr 1.70e-04 | 1.2 it/s
step  13600 | mse 0.2289 | lr 1.69e-04 | 1.2 it/s
step  13700 | mse 0.2364 | lr 1.69e-04 | 1.2 it/s
step  13800 | mse 0.2273 | lr 1.68e-04 | 1.2 it/s
step  13900 | mse 0.2198 | lr 1.68e-04 | 1.2 it/s
step  14000 | mse 0.2268 | lr 1.68e-04 | 1.2 it/s
  [eval] step 14000 | EMA avg NMSE -10.59 dB (step1 -16.05, step10 -7.88) | raw -10.30 dB
step  14100 | mse 0.2433 | lr 1.67e-04 | 1.2 it/s
step  14200 | mse 0.2404 | lr 1.67e-04 | 1.2 it/s
step  14300 | mse 0.2546 | lr 1.66e-04 | 1.2 it/s
step  14400 | mse 0.2396 | lr 1.66e-04 | 1.2 it/s
step  14500 | mse 0.2513 | lr 1.65e-04 | 1.2 it/s
step  14600 | mse 0.2602 | lr 1.65e-04 | 1.2 it/s
step  14700 | mse 0.2323 | lr 1.64e-04 | 1.2 it/s
step  14800 | mse 0.2327 | lr 1.64e-04 | 1.2 it/s
step  14900 | mse 0.2420 | lr 1.63e-04 | 1.2 it/s
step  15000 | mse 0.2497 | lr 1.63e-04 | 1.2 it/s
step  15100 | mse 0.2588 | lr 1.62e-04 | 1.2 it/s
step  15200 | mse 0.2445 | lr 1.62e-04 | 1.2 it/s
step  15300 | mse 0.2237 | lr 1.61e-04 | 1.2 it/s
step  15400 | mse 0.2525 | lr 1.61e-04 | 1.2 it/s
step  15500 | mse 0.2314 | lr 1.60e-04 | 1.2 it/s
step  15600 | mse 0.2644 | lr 1.60e-04 | 1.2 it/s
step  15700 | mse 0.2429 | lr 1.59e-04 | 1.2 it/s
step  15800 | mse 0.2214 | lr 1.59e-04 | 1.2 it/s
step  15900 | mse 0.2430 | lr 1.58e-04 | 1.2 it/s
