===== TRAIN STARTED AT Fri Jul 24 17:02:34 CEST 2026 =====
device=cuda out_dir=runs/mf_6913678 steps=50000 batch=256 lr=0.0002 source_std=1.0 mean_samples=1
building fixed validation set ...
step      0 | mse 1.9944 | mu_mse 0.9727 | lr 2.00e-07 | 0.3 it/s
step  23200 | mse 0.6086 | mu_mse 0.1750 | lr 1.16e-04 | 1.1 it/s
step  23300 | mse 0.6306 | mu_mse 0.1571 | lr 1.15e-04 | 1.1 it/s
step  23400 | mse 0.5386 | mu_mse 0.1694 | lr 1.14e-04 | 1.1 it/s
step  23500 | mse 0.5664 | mu_mse 0.1764 | lr 1.14e-04 | 1.1 it/s
step  23600 | mse 0.5227 | mu_mse 0.1585 | lr 1.13e-04 | 1.1 it/s
step  23700 | mse 0.5473 | mu_mse 0.1692 | lr 1.12e-04 | 1.1 it/s
step  23800 | mse 0.5188 | mu_mse 0.1639 | lr 1.12e-04 | 1.1 it/s
step  23900 | mse 0.5179 | mu_mse 0.1637 | lr 1.11e-04 | 1.1 it/s
step  24000 | mse 0.5912 | mu_mse 0.1901 | lr 1.11e-04 | 1.1 it/s
  [eval] step 24000 | EMA avg NMSE -7.88 dB (step1 -17.24, step10 -3.83) | raw -6.69 dB
step  24100 | mse 0.5326 | mu_mse 0.1629 | lr 1.10e-04 | 1.1 it/s
step  24200 | mse 0.5059 | mu_mse 0.1686 | lr 1.09e-04 | 1.1 it/s
step  24300 | mse 0.4991 | mu_mse 0.1561 | lr 1.09e-04 | 1.1 it/s
step  24400 | mse 0.5862 | mu_mse 0.1808 | lr 1.08e-04 | 1.1 it/s
step  24500 | mse 0.5144 | mu_mse 0.1712 | lr 1.07e-04 | 1.1 it/s
step  24600 | mse 0.5137 | mu_mse 0.1745 | lr 1.07e-04 | 1.1 it/s
step  24700 | mse 0.6622 | mu_mse 0.1689 | lr 1.06e-04 | 1.1 it/s
step  24800 | mse 0.5487 | mu_mse 0.1644 | lr 1.05e-04 | 1.1 it/s
step  24900 | mse 0.5641 | mu_mse 0.1781 | lr 1.05e-04 | 1.1 it/s
step  25000 | mse 0.5556 | mu_mse 0.1625 | lr 1.04e-04 | 1.1 it/s
step  25100 | mse 0.5641 | mu_mse 0.1787 | lr 1.04e-04 | 1.1 it/s
step  25200 | mse 0.5776 | mu_mse 0.1741 | lr 1.03e-04 | 1.1 it/s
step  25300 | mse 0.5573 | mu_mse 0.1649 | lr 1.02e-04 | 1.1 it/s
step  25400 | mse 0.5712 | mu_mse 0.1741 | lr 1.02e-04 | 1.1 it/s
step  25500 | mse 0.6053 | mu_mse 0.1496 | lr 1.01e-04 | 1.1 it/s
step  25600 | mse 0.5574 | mu_mse 0.1756 | lr 1.00e-04 | 1.1 it/s
step  25700 | mse 0.5503 | mu_mse 0.1623 | lr 9.97e-05 | 1.1 it/s
step  25800 | mse 0.5239 | mu_mse 0.1669 | lr 9.91e-05 | 1.1 it/s
step  25900 | mse 0.4972 | mu_mse 0.1805 | lr 9.85e-05 | 1.1 it/s
step  26000 | mse 0.5122 | mu_mse 0.1676 | lr 9.78e-05 | 1.1 it/s
  [eval] step 26000 | EMA avg NMSE -7.87 dB (step1 -16.92, step10 -3.89) | raw -7.23 dB
step  26100 | mse 0.5066 | mu_mse 0.1755 | lr 9.72e-05 | 1.1 it/s
step  26200 | mse 0.4842 | mu_mse 0.1689 | lr 9.66e-05 | 1.1 it/s
step  26300 | mse 0.4635 | mu_mse 0.1467 | lr 9.59e-05 | 1.1 it/s
step  26400 | mse 0.5267 | mu_mse 0.1770 | lr 9.53e-05 | 1.1 it/s
step  26500 | mse 0.4972 | mu_mse 0.1686 | lr 9.47e-05 | 1.1 it/s
step  26600 | mse 0.4785 | mu_mse 0.1612 | lr 9.40e-05 | 1.1 it/s
step  26700 | mse 0.5055 | mu_mse 0.1568 | lr 9.34e-05 | 1.1 it/s
step  26800 | mse 0.4357 | mu_mse 0.1684 | lr 9.28e-05 | 1.1 it/s
step  26900 | mse 0.4816 | mu_mse 0.1859 | lr 9.21e-05 | 1.1 it/s
step  27000 | mse 0.4564 | mu_mse 0.1597 | lr 9.15e-05 | 1.1 it/s
step  27100 | mse 0.4828 | mu_mse 0.1735 | lr 9.09e-05 | 1.1 it/s
step  27200 | mse 0.4777 | mu_mse 0.1608 | lr 9.02e-05 | 1.1 it/s
step  27300 | mse 0.4358 | mu_mse 0.1629 | lr 8.96e-05 | 1.1 it/s
