===== AR-CONVLSTM STARTED Sun Jul 26 18:45:57 CEST 2026 =====
AR-ConvLSTM params=0.602M steps=50000 batch=256 lr=0.0002
step      0 | mse 2.2093 | lr 2.00e-07 | 0.5 it/s
step  21400 | mse 0.2028 | lr 1.27e-04 | 1.4 it/s
step  21500 | mse 0.2142 | lr 1.26e-04 | 1.4 it/s
step  21600 | mse 0.2039 | lr 1.25e-04 | 1.4 it/s
step  21700 | mse 0.1966 | lr 1.25e-04 | 1.4 it/s
step  21800 | mse 0.2107 | lr 1.24e-04 | 1.4 it/s
step  21900 | mse 0.1888 | lr 1.24e-04 | 1.4 it/s
step  22000 | mse 0.1941 | lr 1.23e-04 | 1.4 it/s
  [eval] step 22000 | EMA avg NMSE -6.91 dB (step1 -18.85, step10 -3.01)
step  22100 | mse 0.2122 | lr 1.22e-04 | 1.4 it/s
step  22200 | mse 0.2082 | lr 1.22e-04 | 1.4 it/s
step  22300 | mse 0.1852 | lr 1.21e-04 | 1.4 it/s
step  22400 | mse 0.1918 | lr 1.21e-04 | 1.4 it/s
step  22500 | mse 0.2025 | lr 1.20e-04 | 1.4 it/s
step  22600 | mse 0.2009 | lr 1.19e-04 | 1.4 it/s
step  22700 | mse 0.2174 | lr 1.19e-04 | 1.4 it/s
step  22800 | mse 0.1921 | lr 1.18e-04 | 1.4 it/s
step  22900 | mse 0.2160 | lr 1.17e-04 | 1.4 it/s
step  23000 | mse 0.1961 | lr 1.17e-04 | 1.4 it/s
step  23100 | mse 0.1950 | lr 1.16e-04 | 1.4 it/s
step  23200 | mse 0.2135 | lr 1.16e-04 | 1.4 it/s
step  23300 | mse 0.1876 | lr 1.15e-04 | 1.4 it/s
step  23400 | mse 0.2000 | lr 1.14e-04 | 1.4 it/s
step  23500 | mse 0.2076 | lr 1.14e-04 | 1.4 it/s
step  23600 | mse 0.1942 | lr 1.13e-04 | 1.4 it/s
step  23700 | mse 0.2091 | lr 1.12e-04 | 1.4 it/s
step  23800 | mse 0.1922 | lr 1.12e-04 | 1.4 it/s
step  23900 | mse 0.1801 | lr 1.11e-04 | 1.4 it/s
step  24000 | mse 0.2100 | lr 1.11e-04 | 1.4 it/s
  [eval] step 24000 | EMA avg NMSE -6.99 dB (step1 -19.00, step10 -3.09)
step  24100 | mse 0.1942 | lr 1.10e-04 | 1.4 it/s
step  24200 | mse 0.2036 | lr 1.09e-04 | 1.4 it/s
step  24300 | mse 0.1970 | lr 1.09e-04 | 1.4 it/s
step  24400 | mse 0.2061 | lr 1.08e-04 | 1.4 it/s
step  24500 | mse 0.2069 | lr 1.07e-04 | 1.4 it/s
step  24600 | mse 0.1954 | lr 1.07e-04 | 1.4 it/s
step  24700 | mse 0.2000 | lr 1.06e-04 | 1.4 it/s
step  24800 | mse 0.1947 | lr 1.05e-04 | 1.4 it/s
step  24900 | mse 0.1961 | lr 1.05e-04 | 1.4 it/s
step  25000 | mse 0.1898 | lr 1.04e-04 | 1.4 it/s
step  25100 | mse 0.2003 | lr 1.04e-04 | 1.4 it/s
step  25200 | mse 0.1953 | lr 1.03e-04 | 1.4 it/s
step  25300 | mse 0.1932 | lr 1.02e-04 | 1.4 it/s
step  25400 | mse 0.1984 | lr 1.02e-04 | 1.4 it/s
step  25500 | mse 0.1781 | lr 1.01e-04 | 1.4 it/s
step  25600 | mse 0.2046 | lr 1.00e-04 | 1.4 it/s
step  25700 | mse 0.1857 | lr 9.97e-05 | 1.4 it/s
step  25800 | mse 0.1959 | lr 9.91e-05 | 1.4 it/s
step  25900 | mse 0.2207 | lr 9.85e-05 | 1.4 it/s
step  26000 | mse 0.1936 | lr 9.78e-05 | 1.4 it/s
  [eval] step 26000 | EMA avg NMSE -7.09 dB (step1 -19.09, step10 -3.20)
step  26100 | mse 0.1982 | lr 9.72e-05 | 1.4 it/s
step  26200 | mse 0.1872 | lr 9.66e-05 | 1.4 it/s
step  26300 | mse 0.1686 | lr 9.59e-05 | 1.4 it/s
step  26400 | mse 0.2008 | lr 9.53e-05 | 1.4 it/s
step  26500 | mse 0.1978 | lr 9.47e-05 | 1.4 it/s
step  26600 | mse 0.1839 | lr 9.40e-05 | 1.4 it/s
step  26700 | mse 0.1768 | lr 9.34e-05 | 1.4 it/s
step  26800 | mse 0.2008 | lr 9.28e-05 | 1.4 it/s
step  26900 | mse 0.2145 | lr 9.21e-05 | 1.4 it/s
step  27000 | mse 0.1839 | lr 9.15e-05 | 1.4 it/s
step  27100 | mse 0.1987 | lr 9.09e-05 | 1.4 it/s
step  27200 | mse 0.1873 | lr 9.02e-05 | 1.4 it/s
step  27300 | mse 0.1899 | lr 8.96e-05 | 1.4 it/s
step  27400 | mse 0.1914 | lr 8.90e-05 | 1.4 it/s
step  27500 | mse 0.1972 | lr 8.83e-05 | 1.4 it/s
step  27600 | mse 0.1680 | lr 8.77e-05 | 1.4 it/s
step  27700 | mse 0.1915 | lr 8.71e-05 | 1.4 it/s
step  27800 | mse 0.1905 | lr 8.65e-05 | 1.4 it/s
step  27900 | mse 0.1971 | lr 8.58e-05 | 1.4 it/s
step  28000 | mse 0.2041 | lr 8.52e-05 | 1.4 it/s
  [eval] step 28000 | EMA avg NMSE -7.17 dB (step1 -19.13, step10 -3.28)
step  28100 | mse 0.1973 | lr 8.46e-05 | 1.4 it/s
step  28200 | mse 0.2087 | lr 8.39e-05 | 1.4 it/s
step  28300 | mse 0.1969 | lr 8.33e-05 | 1.4 it/s
step  28400 | mse 0.1895 | lr 8.27e-05 | 1.4 it/s
step  28500 | mse 0.1798 | lr 8.21e-05 | 1.4 it/s
step  28600 | mse 0.1856 | lr 8.15e-05 | 1.4 it/s
step  28700 | mse 0.2010 | lr 8.08e-05 | 1.4 it/s
step  28800 | mse 0.2051 | lr 8.02e-05 | 1.4 it/s
step  28900 | mse 0.2042 | lr 7.96e-05 | 1.4 it/s
step  29000 | mse 0.1790 | lr 7.90e-05 | 1.4 it/s
step  29100 | mse 0.2098 | lr 7.84e-05 | 1.4 it/s
step  29200 | mse 0.1963 | lr 7.77e-05 | 1.4 it/s
step  29300 | mse 0.2040 | lr 7.71e-05 | 1.4 it/s
step  29400 | mse 0.2196 | lr 7.65e-05 | 1.4 it/s
step  29500 | mse 0.1992 | lr 7.59e-05 | 1.4 it/s
step  29600 | mse 0.1956 | lr 7.53e-05 | 1.4 it/s
step  29700 | mse 0.2026 | lr 7.47e-05 | 1.4 it/s
step  29800 | mse 0.2161 | lr 7.41e-05 | 1.4 it/s
step  29900 | mse 0.2018 | lr 7.34e-05 | 1.4 it/s
step  30000 | mse 0.1975 | lr 7.28e-05 | 1.4 it/s
  [eval] step 30000 | EMA avg NMSE -7.22 dB (step1 -19.19, step10 -3.34)
step  30100 | mse 0.1937 | lr 7.22e-05 | 1.4 it/s
step  30200 | mse 0.2064 | lr 7.16e-05 | 1.4 it/s
step  30300 | mse 0.1815 | lr 7.10e-05 | 1.4 it/s
step  30400 | mse 0.2058 | lr 7.04e-05 | 1.4 it/s
step  30500 | mse 0.2090 | lr 6.98e-05 | 1.4 it/s
step  30600 | mse 0.1940 | lr 6.92e-05 | 1.4 it/s
step  30700 | mse 0.1919 | lr 6.86e-05 | 1.4 it/s
step  30800 | mse 0.2042 | lr 6.80e-05 | 1.4 it/s
step  30900 | mse 0.1974 | lr 6.74e-05 | 1.4 it/s
step  31000 | mse 0.2183 | lr 6.68e-05 | 1.4 it/s
step  31100 | mse 0.1866 | lr 6.62e-05 | 1.4 it/s
step  31200 | mse 0.1795 | lr 6.56e-05 | 1.4 it/s
step  31300 | mse 0.1765 | lr 6.50e-05 | 1.4 it/s
step  31400 | mse 0.2058 | lr 6.44e-05 | 1.4 it/s
step  31500 | mse 0.2035 | lr 6.38e-05 | 1.4 it/s
step  31600 | mse 0.1850 | lr 6.33e-05 | 1.4 it/s
step  31700 | mse 0.1956 | lr 6.27e-05 | 1.4 it/s
step  31800 | mse 0.1936 | lr 6.21e-05 | 1.4 it/s
step  31900 | mse 0.1785 | lr 6.15e-05 | 1.4 it/s
step  32000 | mse 0.1982 | lr 6.09e-05 | 1.4 it/s
  [eval] step 32000 | EMA avg NMSE -7.27 dB (step1 -19.23, step10 -3.39)
step  32100 | mse 0.2045 | lr 6.03e-05 | 1.4 it/s
step  32200 | mse 0.1871 | lr 5.98e-05 | 1.4 it/s
step  32300 | mse 0.2085 | lr 5.92e-05 | 1.4 it/s
step  32400 | mse 0.1719 | lr 5.86e-05 | 1.4 it/s
step  32500 | mse 0.1688 | lr 5.80e-05 | 1.4 it/s
step  32600 | mse 0.2134 | lr 5.75e-05 | 1.4 it/s
step  32700 | mse 0.1848 | lr 5.69e-05 | 1.4 it/s
step  32800 | mse 0.1775 | lr 5.63e-05 | 1.4 it/s
step  32900 | mse 0.2080 | lr 5.58e-05 | 1.4 it/s
step  33000 | mse 0.1939 | lr 5.52e-05 | 1.4 it/s
step  33100 | mse 0.1956 | lr 5.46e-05 | 1.4 it/s
step  33200 | mse 0.1971 | lr 5.41e-05 | 1.4 it/s
step  33300 | mse 0.1838 | lr 5.35e-05 | 1.4 it/s
step  33400 | mse 0.1858 | lr 5.30e-05 | 1.4 it/s
step  33500 | mse 0.1866 | lr 5.24e-05 | 1.4 it/s
step  33600 | mse 0.1824 | lr 5.19e-05 | 1.4 it/s
step  33700 | mse 0.1828 | lr 5.13e-05 | 1.4 it/s
step  33800 | mse 0.1782 | lr 5.08e-05 | 1.4 it/s
step  33900 | mse 0.1872 | lr 5.02e-05 | 1.4 it/s
step  34000 | mse 0.1821 | lr 4.97e-05 | 1.4 it/s
  [eval] step 34000 | EMA avg NMSE -7.34 dB (step1 -19.33, step10 -3.45)
step  34100 | mse 0.1924 | lr 4.91e-05 | 1.4 it/s
step  34200 | mse 0.2004 | lr 4.86e-05 | 1.4 it/s
step  34300 | mse 0.1883 | lr 4.81e-05 | 1.4 it/s
step  34400 | mse 0.2032 | lr 4.75e-05 | 1.4 it/s
step  34500 | mse 0.1992 | lr 4.70e-05 | 1.4 it/s
step  34600 | mse 0.2020 | lr 4.65e-05 | 1.4 it/s
step  34700 | mse 0.1934 | lr 4.59e-05 | 1.4 it/s
step  34800 | mse 0.1926 | lr 4.54e-05 | 1.4 it/s
step  34900 | mse 0.1867 | lr 4.49e-05 | 1.4 it/s
step  35000 | mse 0.1951 | lr 4.44e-05 | 1.4 it/s
step  35100 | mse 0.1868 | lr 4.38e-05 | 1.4 it/s
step  35200 | mse 0.1844 | lr 4.33e-05 | 1.4 it/s
step  35300 | mse 0.1851 | lr 4.28e-05 | 1.4 it/s
step  35400 | mse 0.2005 | lr 4.23e-05 | 1.4 it/s
step  35500 | mse 0.1936 | lr 4.18e-05 | 1.4 it/s
step  35600 | mse 0.1872 | lr 4.13e-05 | 1.4 it/s
step  35700 | mse 0.1833 | lr 4.08e-05 | 1.4 it/s
step  35800 | mse 0.1945 | lr 4.03e-05 | 1.4 it/s
step  35900 | mse 0.2027 | lr 3.98e-05 | 1.4 it/s
step  36000 | mse 0.1933 | lr 3.93e-05 | 1.4 it/s
  [eval] step 36000 | EMA avg NMSE -7.35 dB (step1 -19.34, step10 -3.46)
step  36100 | mse 0.2011 | lr 3.88e-05 | 1.4 it/s
step  36200 | mse 0.2083 | lr 3.83e-05 | 1.4 it/s
step  36300 | mse 0.1907 | lr 3.78e-05 | 1.4 it/s
