===== SEQ2SEQ (regression/large) STARTED Sun Jul 26 13:50:11 CEST 2026 =====
objective=regression size=large params=1.362M steps=50000 batch=256 lr=0.0002 norm=global_std
global-std (mu, sd) = (0.0326, 0.7064)
step      0 | loss 1.1590 | lr 2.00e-07 | 0.9 it/s
  [eval] step 12000 | EMA avg NMSE -9.86 dB (step1 -15.33, step10 -7.21)
step  12100 | loss 0.2794 | lr 1.76e-04 | 1.2 it/s
step  12200 | loss 0.2361 | lr 1.76e-04 | 1.2 it/s
step  12300 | loss 0.2387 | lr 1.75e-04 | 1.2 it/s
step  12400 | loss 0.2719 | lr 1.75e-04 | 1.2 it/s
step  12500 | loss 0.2204 | lr 1.74e-04 | 1.2 it/s
step  12600 | loss 0.2429 | lr 1.74e-04 | 1.2 it/s
step  12700 | loss 0.2345 | lr 1.73e-04 | 1.2 it/s
step  12800 | loss 0.2491 | lr 1.73e-04 | 1.2 it/s
step  12900 | loss 0.2493 | lr 1.73e-04 | 1.2 it/s
step  13000 | loss 0.2701 | lr 1.72e-04 | 1.2 it/s
step  13100 | loss 0.2319 | lr 1.72e-04 | 1.2 it/s
step  13200 | loss 0.2299 | lr 1.71e-04 | 1.2 it/s
step  13300 | loss 0.2439 | lr 1.71e-04 | 1.2 it/s
step  13400 | loss 0.2466 | lr 1.70e-04 | 1.2 it/s
step  13500 | loss 0.2305 | lr 1.70e-04 | 1.2 it/s
step  13600 | loss 0.2236 | lr 1.69e-04 | 1.2 it/s
step  13700 | loss 0.2307 | lr 1.69e-04 | 1.2 it/s
step  13800 | loss 0.2246 | lr 1.68e-04 | 1.2 it/s
step  13900 | loss 0.2160 | lr 1.68e-04 | 1.2 it/s
step  14000 | loss 0.2229 | lr 1.68e-04 | 1.2 it/s
  [eval] step 14000 | EMA avg NMSE -10.17 dB (step1 -15.72, step10 -7.41)
step  14100 | loss 0.2409 | lr 1.67e-04 | 1.2 it/s
step  14200 | loss 0.2356 | lr 1.67e-04 | 1.2 it/s
step  14300 | loss 0.2512 | lr 1.66e-04 | 1.2 it/s
